Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daichi Kamada,jp JPN,MF,Crystal Palace,28-076,1996,7,4,365,4.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,10,24,21,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1,Matches
Dan Burn,eng ENG,DF,Newcastle Utd,32-164,1992,8,8,720,8,0,0,0,0,0,0,4,0,0.4,0.4,0.1,0.5,0,13,3,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,Matches
Dango Ouattara,bf BFA,"FW,DF",Bournemouth,22-252,2002,7,3,324,3.6,1,1,2,1,0,0,0,0,1.5,1.5,1.2,2.7,21,6,43,0.28,0.28,0.56,0.28,0.56,0.41,0.34,0.75,0.41,0.75,Matches
Daniel Jebbison,eng ENG,FW,Bournemouth,21-068,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches
Daniel Muñoz,co COL,"DF,MF",Crystal Palace,28-147,1996,7,7,546,6.1,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.7,10,18,44,0,0,0,0,0,0.05,0.05,0.11,0.05,0.11,Matches
Daniel Podence,pt POR,"MF,FW",Wolves,28-365,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
Danilo,br BRA,MF,Nott'ham Forest,23-174,2001,1,1,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Danny Ings,eng ENG,"FW,MF",West Ham,32-089,1992,3,0,31,0.3,1,0,1,1,0,0,0,0,0.5,0.5,0,0.5,0,0,2,2.9,0,2.9,2.9,2.9,1.44,0,1.44,1.44,1.44,Matches
Danny Welbeck,eng ENG,FW,Brighton,33-329,1990,8,8,676,7.5,5,1,6,5,0,0,1,0,3.9,3.9,0.4,4.3,6,18,29,0.67,0.13,0.8,0.67,0.8,0.52,0.05,0.57,0.52,0.57,Matches
Dara O'Shea,ie IRL,DF,Ipswich Town,25-230,1999,5,5,422,4.7,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,1,12,0,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches
